[21/01/2020 0:47:33] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:47:37] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:47:39] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:47:41] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:47:42] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:47:43] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10000] 
[21/01/2020 0:47:44] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10000] 
[21/01/2020 0:48:01] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20] 
[21/01/2020 0:48:02] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20] 
[21/01/2020 0:48:04] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10] 
[21/01/2020 0:48:05] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10] 
[21/01/2020 0:48:06] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:48:07] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:48:10] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:48:11] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:48:18] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200] 
[21/01/2020 0:48:19] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200] 
[21/01/2020 0:48:22] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:48:23] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:48:25] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:48:29] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:48:46] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:48:51] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:48:58] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:48:59] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:49:06] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin3], Params: [] 
[21/01/2020 0:49:17] --> GM: Jager_268477835, Target: [Jager], Action: [admin_unpara_all_menu], Params: [] 
[21/01/2020 0:49:23] --> GM: Jager_268477835, Target: [Jager], Action: [admin_unpolyself_menu], Params: [] 
[21/01/2020 0:49:26] --> GM: Jager_268477835, Target: [no-target], Action: [admin_unpolyself_menu], Params: [] 
[21/01/2020 0:49:29] --> GM: Jager_268477835, Target: [no-target], Action: [admin_unpolyself_menu], Params: [] 
[21/01/2020 0:49:35] --> GM: Jager_268477835, Target: [no-target], Action: [admin_unpolymorph_menu], Params: [] 
[21/01/2020 0:49:42] --> GM: Jager_268477835, Target: [no-target], Action: [admin_polymorph_menu], Params: [] 
[21/01/2020 0:49:50] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin3], Params: [] 
[21/01/2020 0:49:51] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin4], Params: [] 
[21/01/2020 0:50:10] --> GM: Jager_268477835, Target: [no-target], Action: [admin_msg], Params: [] 
[21/01/2020 0:50:20] --> GM: Jager_268477835, Target: [Karakawei], Action: [admin_admin], Params: [] 
[21/01/2020 0:50:25] --> GM: Jager_268477835, Target: [Karakawei], Action: [admin_heal], Params: [] 
[21/01/2020 0:53:09] --> GM: Jager_268477835, Target: [Karakawei], Action: [admin_admin], Params: [] 
[21/01/2020 0:53:19] --> GM: Jager_268477835, Target: [Karakawei], Action: [admin_setkarma], Params: [] 
[21/01/2020 0:53:34] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:53:36] --> GM: Jager_268477835, Target: [Jager], Action: [admin_setkarma], Params: [] 
[21/01/2020 0:53:45] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:53:58] --> GM: Jager_268477835, Target: [Balauru], Action: [admin_setkarma], Params: [] 
[21/01/2020 0:54:09] --> GM: Jager_268477835, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:54:24] --> GM: Jager_268477835, Target: [no-target], Action: [admin_gmliston], Params: [] 
[21/01/2020 0:54:32] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:54:49] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin4], Params: [] 
[21/01/2020 0:55:03] --> GM: Jager_268477835, Target: [no-target], Action: [admin_geo_los], Params: [] 
[21/01/2020 0:55:11] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:55:14] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin5], Params: [] 
[21/01/2020 0:55:19] --> GM: Jager_268477835, Target: [no-target], Action: [admin_townwar_start], Params: [] 
[21/01/2020 0:55:31] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:55:34] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin5], Params: [] 
[21/01/2020 0:55:35] --> GM: Jager_268477835, Target: [no-target], Action: [admin_townwar_end], Params: [] 
[21/01/2020 0:55:42] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:55:46] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin4], Params: [] 
[21/01/2020 0:55:56] --> GM: Jager_268477835, Target: [no-target], Action: [admin_forge], Params: [] 
[21/01/2020 0:56:14] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:56:20] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin3], Params: [] 
[21/01/2020 0:56:23] --> GM: Jager_268477835, Target: [no-target], Action: [admin_abnormal_menu], Params: [] 
[21/01/2020 0:56:25] --> GM: Jager_268477835, Target: [no-target], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:56:28] --> GM: Jager_268477835, Target: [no-target], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:56:35] --> GM: Jager_268477835, Target: [no-target], Action: [admin_abnormal_menu], Params: [ 800] 
